attention,meditation,lowAlpha,lowBeta,lowGamma,highAlpha,highBeta,X,Y,Direction
87,81,16422,20501,16422,10480,10480,2308,1294,Up-Left
80,60,905,3345,905,895,895,2225,1248,Up-Left
53,64,10255,2648,10255,1146,1146,2143,1202,Up-Left
53,64,10255,2648,10255,1146,1146,2054,1152,Up-Left
54,77,3063,1736,3063,2835,2835,1972,1106,Up-Left
50,78,62685,4130,62685,10464,10464,1889,1060,Up-Left
51,84,9910,16236,9910,4751,4751,1807,1014,Up-Left
75,84,4260,2716,4260,18706,18706,1724,968,Up-Left
63,81,30702,16661,30702,6900,6900,1642,922,Up-Left
63,81,30702,16661,30702,6900,6900,1559,876,Up-Left
57,60,10078,19848,10078,5452,5452,1477,830,Up-Left
77,74,11171,11968,11171,9282,9282,1394,784,Up-Left
54,67,21715,4958,21715,5577,5577,1312,738,Left
61,61,2972,9058,2972,5195,5195,1280,738,Down
61,61,2972,9058,2972,5195,5195,1280,784,Down
63,64,9632,572,9632,3148,3148,1280,830,Down
44,47,6297,5277,6297,3358,3358,1280,880,Down
57,60,2950,929,2950,1078,1078,1280,922,Down
54,57,7599,4075,7599,7138,7138,1280,968,Down
54,57,7599,4075,7599,7138,7138,1280,1014,Down
67,61,5060,5604,5060,4832,4832,1280,1060,Down
61,78,14732,1223,14732,1246,1246,1280,1106,Down
53,64,3211,2478,3211,1550,1550,1280,1152,Down
57,74,6690,11512,6690,5159,5159,1280,1202,Down
50,84,16732,6688,16732,4420,4420,1280,1248,Down
50,84,16732,6688,16732,4420,4420,1280,1294,Down
64,90,320,4020,320,957,957,1280,1340,Down
64,97,13827,4449,13827,3336,3336,1280,1386,Down
53,90,14991,7495,14991,5878,5878,1280,1429,Up
41,78,62850,14979,62850,11226,11226,1280,1390,Up
41,78,62850,14979,62850,11226,11226,1280,1344,Up
48,60,14208,44166,14208,33239,33239,1280,1298,Up
54,63,8481,6259,8481,5327,5327,1280,1252,Up
53,78,78561,24230,78561,10871,10871,1280,1206,Up
60,78,5787,3372,5787,1904,1904,1280,1160,Up
64,90,2810,7304,2810,6224,6224,1280,1110,Up
64,90,2810,7304,2810,6224,6224,1280,1067,Up
70,78,12681,6812,12681,12407,12407,1280,1021,Up
83,63,1077,3022,1077,2246,2246,1280,972,Up
88,60,10587,10443,10587,5309,5309,1280,922,Up
88,57,5044,5365,5044,8770,8770,1280,876,Up
88,57,5044,5365,5044,8770,8770,1280,830,Up
78,64,12390,18326,12390,6540,6540,1280,784,Up
84,70,948,8769,948,2964,2964,1280,738,Left
78,77,7347,5707,7347,1890,1890,1248,738,Down-Left
66,91,44690,7684,44690,12105,12105,1166,784,Down-Left
66,91,44690,7684,44690,12105,12105,1077,833,Down-Left
57,78,1328,1445,1328,739,739,1001,876,Down-Left
53,74,2064,2498,2064,1457,1457,918,922,Down-Left
69,69,5167,7549,5167,7325,7325,836,968,Down-Left
56,41,12535,13884,12535,4728,4728,753,1018,Down-Left
64,35,5849,13300,5849,25014,25014,671,1064,Down-Left
64,35,5849,13300,5849,25014,25014,588,1106,Down-Left
61,47,44578,7850,44578,15185,15185,506,1152,Down-Left
50,40,4195,5152,4195,5513,5513,423,1202,Down-Left
63,51,13670,1443,13670,8128,8128,341,1248,Down-Left
60,77,33104,6544,33104,10710,10710,258,1291,Down-Left
60,77,33104,6544,33104,10710,10710,176,1337,Down-Left
50,70,36490,9332,36490,3776,3776,93,1383,Down-Left
56,74,64499,36542,64499,84559,84559,11,1429,Up-Right
60,80,1182,16504,1182,7872,7872,81,1390,Up-Right
61,83,7967,7611,7967,2116,2116,163,1344,Up-Right
75,67,8661,12390,8661,18382,18382,246,1298,Up-Right
75,67,8661,12390,8661,18382,18382,328,1252,Up-Right
69,70,13116,5799,13116,9456,9456,411,1206,Up-Right
53,48,18951,32688,18951,9581,9581,493,1160,Up-Right
40,26,1850,1368,1850,387,387,576,1110,Up-Right
43,30,217,303,217,836,836,658,1067,Up-Right
43,30,217,303,217,836,836,741,1021,Up-Right
37,38,9248,8174,9248,3840,3840,823,975,Up-Right
51,66,32447,5136,32447,10250,10250,906,929,Up-Right
