"attention","meditation","lowAlpha","lowBeta","lowGamma","highAlpha","highBeta","X","Y","Direction"
"63","40","84500","2091","84500","76781","76781","1642","922","Down-Right"
"51","34","55850","12327","55850","451985","451985","1743","979","Down-Right"
"74","47","150747","4715","150747","87760","87760","1845","1036","Down-Right"
"69","35","126480","3773","126480","145978","145978","1946","1092","Down-Right"
"75","38","134290","17321","134290","135194","135194","2041","1145","Down-Right"
"75","38","134290","17321","134290","135194","135194","2143","1202","Down-Right"
"75","38","36316","9993","36316","164034","164034","2244","1259","Down-Right"
"75","38","18395","7638","18395","235606","235606","2346","1316","Down-Right"
"87","30","10549","7896","10549","342040","342040","2447","1372","Down-Right"
"87","30","14204","4786","14204","212434","212434","2543","1425","Up-Left"
"87","30","14204","4786","14204","212434","212434","2473","1386","Up-Left"
"81","26","15663","3936","15663","176943","176943","2371","1330","Up-Left"
"81","30","50953","1773","50953","171992","171992","2270","1273","Up-Left"
"77","26","9831","1621","9831","170680","170680","2168","1216","Up-Left"
"60","23","54295","2068","54295","103141","103141","2067","1160","Up-Left"
"60","23","54295","2068","54295","103141","103141","1965","1103","Up-Left"
"63","23","37832","4919","37832","116355","116355","1870","1050","Up-Left"
"47","26","235798","10852","235798","55750","55750","1769","993","Up-Left"
"48","29","39383","1670","39383","120435","120435","1667","936","Up-Left"
"37","38","27326","7178","27326","93672","93672","1566","880","Up-Left"
"37","38","27326","7178","27326","93672","93672","1464","823","Up-Left"
"47","43","12096","593","12096","25018","25018","1362","766","Up-Left"
"35","27","180695","15003","180695","40107","40107","1280","720","Down"
"30","27","12890","3208","12890","80760","80760","1280","773","Down"
"40","23","76596","4362","76596","106771","106771","1280","830","Down"
"40","23","76596","4362","76596","106771","106771","1280","887","Down"
"34","13","47364","8442","47364","40701","40701","1280","943","Down"
"74","13","90434","53614","90434","261228","261228","1280","1000","Down"
"80","20","71057","3768","71057","32619","32619","1280","1057","Down"
"84","35","269215","37042","269215","184657","184657","1280","1110","Down"
"84","35","269215","37042","269215","184657","184657","1280","1167","Down"
"70","35","100364","6664","100364","40060","40060","1280","1223","Down"
"70","57","373637","14439","373637","335095","335095","1280","1280","Down"
"69","61","43054","2906","43054","97761","97761","1280","1337","Down"
"66","57","159589","30220","159589","206702","206702","1280","1394","Down"
"66","57","159589","30220","159589","206702","206702","1280","1422","Up"
"96","70","11121","984","11121","129758","129758","1280","1365","Up"
"78","60","324193","21973","324193","218589","218589","1280","1308","Up"
"87","57","160573","3810","160573","123132","123132","1280","1252","Up"
"93","56","293517","23729","293517","423874","423874","1280","1195","Up"
"93","56","293517","23729","293517","423874","423874","1280","1142","Up"
"81","51","453073","12207","453073","262734","262734","1280","1085","Up"
"83","48","19293","861","19293","91756","91756","1280","1028","Up"
"69","41","69514","7346","69514","57153","57153","1280","972","Up"
"64","38","12003","1268","12003","112713","112713","1280","915","Up"
"54","35","13580","1146","13580","10064","10064","1280","858","Up"
"54","35","13580","1146","13580","10064","10064","1280","805","Up"
"54","34","95599","4976","95599","82554","82554","1280","748","Up-Left"
"61","30","85714","1076","85714","103359","103359","1248","738","Down-Left"
"63","27","93871","3496","93871","92776","92776","1147","794","Down-Left"
"64","30","133106","4504","133106","59281","59281","1045","851","Down-Left"
"64","30","133106","4504","133106","59281","59281","944","908","Down-Left"
"61","40","70708","9464","70708","42373","42373","849","961","Down-Left"
