attention,meditation,lowAlpha,lowBeta,lowGamma,highAlpha,highBeta,X,Y,Direction
41,35,6480,1372,6480,2934,2934,1280,688,Up
27,14,6486,1125,6486,6259,6259,1280,631,Up
27,14,6486,1125,6486,6259,6259,1280,575,Up
38,30,6819,2067,6819,7320,7320,1280,518,Up
38,40,17290,1675,17290,11643,11643,1280,465,Up
51,54,20805,6386,20805,7389,7389,1280,408,Up
53,67,15552,5022,15552,3296,3296,1280,351,Up
53,67,15552,5022,15552,3296,3296,1280,295,Up
53,60,83466,2232,83466,45179,45179,1280,241,Up
47,60,110050,5290,110050,36199,36199,1280,185,Up
40,57,74877,9031,74877,16637,16637,1280,128,Up
48,77,12233,541,12233,1907,1907,1280,71,Up
48,77,12233,541,12233,1907,1907,1280,18,Down
47,69,94189,14667,94189,49425,49425,1280,50,Down
57,70,10087,6418,10087,12357,12357,1280,107,Down
69,60,4725,3179,4725,9783,9783,1280,163,Down
77,47,35051,6614,35051,23108,23108,1280,220,Down
63,44,10061,6159,10061,4828,4828,1280,273,Down
63,44,10061,6159,10061,4828,4828,1280,330,Down
56,41,2823,9566,2823,16759,16759,1280,387,Down
56,43,5698,2943,5698,9594,9594,1280,443,Down
48,43,2103,939,2103,1033,1033,1280,497,Down
54,41,2838,900,2838,1351,1351,1280,553,Down
54,41,2838,900,2838,1351,1351,1280,610,Down
44,41,23573,8535,23573,6208,6208,1280,667,Down
29,48,3541,3758,3541,2841,2841,1280,720,Up-Right
34,41,2134,1791,2134,1975,1975,1362,674,Up-Right
34,51,82440,6856,82440,26768,26768,1464,617,Up-Right
34,51,82440,6856,82440,26768,26768,1566,560,Up-Right
44,54,5810,1014,5810,2738,2738,1661,507,Up-Right
60,53,12754,5551,12754,29008,29008,1762,451,Up-Right
51,41,6850,1881,6850,4153,4153,1864,394,Up-Right
44,47,32835,3527,32835,3139,3139,1965,337,Up-Right
44,47,32835,3527,32835,3139,3139,2060,284,Up-Right
24,29,11449,2360,11449,2781,2781,2162,227,Up-Right
7,20,21055,17091,21055,12915,12915,2263,171,Up-Right
