attention,meditation,lowAlpha,lowBeta,lowGamma,highAlpha,highBeta,X,Y,Direction
35,66,116666,572730,116666,253218,253218,1730,972,Up-Left
37,67,116666,572730,116666,253218,253218,1635,919,Up-Left
35,67,91082,300171,91082,73301,73301,1534,862,Up-Left
35,67,39793,30739,39793,134893,134893,1439,809,Up-Left
34,83,118084,104185,118084,157731,157731,1337,752,Up-Left
27,67,104211,93968,104211,141545,141545,1280,734,Down
26,66,136507,129066,136507,201860,201860,1280,787,Down
37,61,136507,129066,136507,201860,201860,1280,844,Down
40,50,100561,90186,100561,158730,158730,1280,897,Down
40,50,40580,35341,40580,40748,40748,1280,950,Down
53,60,16309,45911,16309,20938,20938,1280,1004,Down
64,64,93646,80757,93646,97168,97168,1280,1060,Down
63,91,93646,80757,93646,97168,97168,1280,1117,Down
57,75,570682,407199,570682,719892,719892,1280,1170,Down
57,75,58943,280608,58943,110820,110820,1280,1227,Down
53,74,30984,122163,30984,173133,173133,1280,1284,Down
43,67,60314,113790,60314,126685,126685,1280,1337,Down
41,53,60314,113790,60314,126685,126685,1280,1394,Down
43,78,64691,157121,64691,97939,97939,1280,1418,Up
43,78,160604,180115,160604,72223,72223,1280,1365,Up
8,60,50053,57146,50053,201208,201208,1280,1312,Up
43,78,92297,61953,92297,150948,150948,1280,1255,Up
35,64,92297,61953,92297,150948,150948,1280,1199,Up
34,50,17164,119995,17164,150491,150491,1280,1145,Up
23,57,253621,237746,253621,132880,132880,1280,1089,Up
20,40,163985,65788,163985,135242,135242,1280,1036,Up
20,40,26381,208908,26381,99562,99562,1280,979,Up
20,50,26381,208908,26381,99562,99562,1280,926,Up
24,74,32677,25780,32677,34271,34271,1280,869,Up
37,57,31408,26737,31408,31370,31370,1280,812,Up
43,66,475454,108586,475454,120183,120183,1280,759,Up-Left
43,66,372731,99190,372731,127054,127054,1267,727,Down-Left
56,67,372731,99190,372731,127054,127054,1172,780,Down-Left
51,57,41405,74416,41405,110756,110756,1071,837,Down-Left
50,75,281765,30256,281765,179525,179525,969,894,Down-Left
44,64,263395,201427,263395,120951,120951,874,947,Down-Left
44,64,154648,68344,154648,145226,145226,772,1004,Down-Left
38,63,154648,68344,154648,145226,145226,677,1057,Down-Left
44,60,455872,1075612,455872,608865,608865,576,1113,Down-Left
44,48,92324,108606,92324,130101,130101,474,1170,Down-Left
44,64,19567,15978,19567,20876,20876,379,1223,Down-Left
50,67,84602,152931,84602,93650,93650,277,1280,Down-Left
50,67,27237,179341,27237,88738,88738,176,1337,Down-Left
41,78,27237,179341,27237,88738,88738,81,1390,Down-Left
43,84,54836,119206,54836,127786,127786,24,1422,Up-Right
47,78,19354,159484,19354,141370,141370,119,1369,Up-Right
51,70,197291,91847,197291,168447,168447,220,1312,Up-Right
51,70,190976,99944,190976,142334,142334,322,1255,Up-Right
53,57,190976,99944,190976,142334,142334,423,1199,Up-Right
61,54,31393,123285,31393,182934,182934,512,1145,Up-Right
56,60,30919,59010,30919,74508,74508,614,1092,Up-Right
56,57,84682,72313,84682,136236,136236,715,1036,Up-Right
56,57,27272,112268,27272,78488,78488,817,979,Up-Right
61,74,27272,112268,27272,78488,78488,912,926,Up-Right
44,61,59045,136047,59045,100342,100342,1014,869,Up-Right
51,54,50849,81156,50849,53107,53107,1115,812,Up-Right
47,48,7436,115833,7436,123249,123249,1210,755,Up-Right
47,48,115950,72864,115950,62878,62878,1267,720,Left
38,29,115950,72864,115950,62878,62878,1166,720,Left
50,41,181277,174254,181277,109975,109975,1071,720,Left
51,48,383737,975803,383737,408094,408094,975,720,Left
41,54,34382,14920,34382,24642,24642,874,720,Left
41,54,24349,21944,24349,48531,48531,779,720,Left
34,61,24349,21944,24349,48531,48531,677,720,Left
29,41,115619,181149,115619,111361,111361,582,720,Left
30,30,35308,101345,35308,116222,116222,487,720,Left
44,38,85605,140148,85605,101884,101884,385,720,Left
44,38,18175,15716,18175,37886,37886,284,720,Left
69,47,18175,15716,18175,37886,37886,189,720,Left
77,60,118284,176712,118284,208859,208859,87,720,Left
60,64,54283,98236,54283,105057,105057,11,720,Right
54,66,176282,144525,176282,70759,70759,106,720,Right
38,41,53360,128572,53360,191919,191919,208,720,Right
38,41,53360,128572,53360,191919,191919,303,720,Right
38,48,89081,53790,89081,123515,123515,398,720,Right
41,40,98478,85916,98478,163530,163530,500,720,Right
50,37,23463,30055,23463,19070,19070,601,720,Right
61,66,20151,139992,20151,160179,160179,703,720,Right
61,66,7754,77776,7754,20750,20750,798,720,Right
56,64,7754,77776,7754,20750,20750,899,720,Right
56,69,202399,75338,202399,218981,218981,994,720,Right
61,66,48825,134865,48825,125093,125093,1096,720,Right
57,57,178390,108028,178390,118150,118150,1198,720,Right
57,57,213722,68468,213722,90538,90538,1280,720,Up-Left
63,51,213722,68468,213722,90538,90538,1185,667,Up-Left
66,64,84022,84048,84022,111876,111876,1090,614,Up-Left
63,66,60698,109256,60698,99198,99198,988,557,Up-Left
57,57,175218,121397,175218,135475,135475,893,504,Up-Left
57,57,12095,70583,12095,179109,179109,791,447,Up-Left
60,61,12095,70583,12095,179109,179109,696,394,Up-Left
67,63,17697,17290,17697,32757,32757,595,337,Up-Left
53,66,134856,175409,134856,211617,211617,500,280,Up-Left
53,66,17857,105673,17857,87899,87899,398,227,Up-Left
53,66,27527,261522,27527,62469,62469,297,171,Up-Left
44,77,27527,261522,27527,62469,62469,201,117,Up-Left
30,69,24274,99115,24274,111244,111244,106,64,Up-Left
40,64,21674,67220,21674,151779,151779,11,11,Down-Right
40,80,125125,113700,125125,114144,114144,93,57,Down-Right
40,80,505276,577221,505276,812362,812362,189,110,Down-Right
44,75,505276,577221,505276,812362,812362,290,167,Down-Right
51,69,39228,5455,39228,33172,33172,392,224,Down-Right
50,75,22686,106082,22686,209035,209035,487,277,Down-Right
44,64,495302,912229,495302,301473,301473,588,334,Down-Right
44,64,68068,143106,68068,84396,84396,690,390,Down-Right
38,63,68068,143106,68068,84396,84396,785,443,Down-Right
44,60,45326,44208,45326,123664,123664,880,497,Down-Right
44,48,76809,161634,76809,149964,149964,982,553,Down-Right
44,64,62216,97657,62216,93079,93079,1083,610,Down-Right
50,67,241203,119501,241203,137438,137438,1185,667,Down-Right
50,67,241203,119501,241203,137438,137438,1280,720,No-Change
41,78,42549,9623,42549,34854,34854,1280,720,
