attention,meditation,lowAlpha,lowBeta,lowGamma,highAlpha,highBeta,X,Y,Direction
69,23,180077,233688,180077,614337,614337,1280,720,Up
64,43,61144,202148,61144,102858,102858,1280,674,Up
35,44,27570,41079,27570,42194,42194,1280,621,Up
61,56,387394,298165,387394,597821,597821,1280,568,Up
48,48,387394,298165,387394,597821,597821,1280,514,Up
54,27,520823,443736,520823,289095,289095,1280,458,Up
63,23,57754,153695,57754,132929,132929,1280,401,Up
63,44,59966,358878,59966,497933,497933,1280,348,Up
69,23,116005,115157,116005,79762,79762,1280,291,Up
64,43,116005,115157,116005,79762,79762,1280,238,Up
35,44,14633,37115,14633,31027,31027,1280,181,Up
61,56,106012,67901,106012,99513,99513,1280,124,Up
48,48,27625,30372,27625,116992,116992,1280,71,Up
54,27,31705,110743,31705,86170,86170,1280,15,Down
63,23,31705,110743,31705,86170,86170,1280,54,Down
63,44,16657,40090,16657,19651,19651,1280,110,Down
50,40,93252,103973,93252,101921,101921,1280,163,Down
35,27,39818,148124,39818,127366,127366,1280,220,Down
27,11,73116,66509,73116,130067,130067,1280,277,Down
23,17,73116,66509,73116,130067,130067,1280,334,Down
27,14,81018,160956,81018,91362,91362,1280,387,Down
27,14,114088,152395,114088,141849,141849,1280,440,Down
26,8,46409,42692,46409,86341,86341,1280,493,Down
24,17,89177,169205,89177,108571,108571,1280,546,Down
24,13,89177,169205,89177,108571,108571,1280,603,Down
20,17,212620,189269,212620,108689,108689,1280,656,Down
20,17,23493,13210,23493,42434,42434,1280,713,Up-Right
20,23,171110,162498,171110,72567,72567,1343,685,Up-Right
23,38,139031,964597,139031,516095,516095,1439,631,Up-Right
23,44,139031,964597,139031,516095,516095,1540,575,Up-Right
16,48,65247,177427,65247,128851,128851,1635,521,Up-Right
16,48,59765,18785,59765,31570,31570,1737,465,Up-Right
21,44,82591,236602,82591,80933,80933,1838,408,Up-Right
26,21,82591,236602,82591,80933,80933,1934,355,Up-Right
34,17,167890,78413,167890,51949,51949,2035,298,Up-Right
41,4,167890,78413,167890,51949,51949,2137,241,Up-Right
41,4,190904,100161,190904,105905,105905,2232,188,Up-Right
34,1,175017,447020,175017,547932,547932,2333,132,Up-Right
26,1,107293,823771,107293,529301,529301,2435,75,Up-Right
17,1,36107,30631,36107,26877,26877,2536,18,Down-Left
14,4,36107,30631,36107,26877,26877,2486,46,Down-Left
20,26,296909,589431,296909,400610,400610,2384,103,Down-Left
20,26,352815,115675,352815,102970,102970,2289,156,Down-Left
30,51,15991,37932,15991,49800,49800,2187,213,Down-Left
29,54,33026,19579,33026,16873,16873,2092,266,Down-Left
34,56,33026,19579,33026,16873,16873,1997,319,Down-Left
24,37,61128,183582,61128,90590,90590,1895,376,Down-Left
24,37,119011,85337,119011,117565,117565,1800,429,Down-Left
24,11,115513,133328,115513,150536,150536,1699,486,Down-Left
26,3,23480,16640,23480,29671,29671,1604,539,Down-Left
34,1,23480,16640,23480,29671,29671,1502,596,Down-Left
43,1,15621,73457,15621,111577,111577,1407,649,Down-Left
43,1,156354,104055,156354,233367,233367,1305,706,Down-Right
27,1,14388,112786,14388,146672,146672,1337,720,Right
24,7,11357,47337,11357,28070,28070,1432,720,Right
24,13,11357,47337,11357,28070,28070,1527,720,Right
23,37,46242,90433,46242,109826,109826,1623,720,Right
23,37,49414,90669,49414,157241,157241,1724,720,Right
20,23,93466,102020,93466,175834,175834,1819,720,Right
23,29,93466,102020,93466,175834,175834,1921,720,Right
13,16,93466,102020,93466,175834,175834,2022,720,Right
13,10,29600,33433,29600,18032,18032,2118,720,Right
13,10,65951,155902,65951,245255,245255,2219,720,Right
20,27,119202,231802,119202,132420,132420,2308,720,Right
20,26,153877,95051,153877,173667,173667,2403,720,Right
23,40,153877,95051,153877,173667,173667,2505,720,Right
20,43,11374,19363,11374,45279,45279,2517,720,Left
20,43,182848,110232,182848,178289,178289,2416,720,Left
26,40,68897,98077,68897,48987,48987,2321,720,Left
27,43,30556,298264,30556,92660,92660,2219,720,Left
29,51,106644,126486,106644,106644,106644,2118,720,Left
30,47,106644,126486,106644,106644,106644,2016,720,Left
27,64,29533,14009,29533,29151,29151,1921,720,Left
27,64,386731,160157,386731,186750,186750,1826,720,Left
29,56,14784,177056,14784,57153,57153,1730,720,Left
29,38,126389,50369,126389,104141,104141,1635,720,Left
40,44,126389,50369,126389,104141,104141,1540,720,Left
29,34,8859,15156,8859,42823,42823,1439,720,Left
29,34,227639,98192,227639,118114,118114,1337,720,Down-Left
34,35,105673,267553,105673,93925,93925,1305,734,Down-Right
34,35,98070,45977,98070,211889,211889,1401,787,Down-Right
24,40,98070,45977,98070,211889,211889,1502,844,Down-Right
26,40,26232,46158,26232,107250,107250,1604,901,Down-Right
26,40,24340,16650,24340,19237,19237,1699,954,Down-Right
29,44,105960,137528,105960,120091,120091,1800,1011,Down-Right
27,53,141578,52686,141578,295201,295201,1895,1064,Down-Right
16,43,141578,52686,141578,295201,295201,1997,1121,Down-Right
23,43,73015,147323,73015,116856,116856,2092,1174,Down-Right
23,43,19502,24856,19502,44990,44990,2194,1230,Down-Right
17,47,76945,71724,76945,102804,102804,2295,1287,Down-Right
17,41,45125,170590,45125,79510,79510,2390,1340,Down-Right
29,50,45125,170590,45125,79510,79510,2492,1397,Down-Right
23,47,34067,274987,34067,137340,137340,2524,1415,Up-Left
23,47,174575,164900,174575,144084,144084,2428,1362,Up-Left
17,37,49267,21898,49267,30383,30383,2327,1305,Up-Left
23,38,96278,100060,96278,55670,55670,2225,1248,Up-Left
23,50,96278,100060,96278,55670,55670,2124,1191,Up-Left
27,51,62096,114658,62096,89264,89264,2029,1138,Up-Left
27,51,44706,116880,44706,100874,100874,1934,1085,Up-Left
38,51,48497,16862,48497,38269,38269,1832,1028,Up-Left
