attention,meditation,lowAlpha,lowBeta,lowGamma,highAlpha,highBeta,X,Y,Direction
67,47,9605,10610,9605,10473,10473,1524,1416,No-Change
67,47,9605,10610,9605,10473,10473,1524,1416,No-Change
74,50,4724,14512,4724,43401,43401,1435,800,No-Change
66,38,21034,15420,21034,9584,9584,1280,720,Up
51,17,838,594,838,1637,1637,1280,681,Up
54,23,10336,14520,10336,21426,21426,1280,635,Up
51,35,7780,14076,7780,5507,5507,1280,585,Up
64,30,19726,39438,19726,29489,29489,1280,539,Up
64,30,19726,39438,19726,29489,29489,1280,493,Up
75,56,30982,13319,30982,14319,14319,1280,443,Up
67,69,32511,20529,32511,18993,18993,1280,397,Up
69,57,1056,4642,1056,6844,6844,1280,351,Up
70,56,30156,7969,30156,30743,30743,1280,302,Up
77,47,2817,3138,2817,4580,4580,1280,256,Up
77,47,2817,3138,2817,4580,4580,1280,206,Up
81,44,6940,3369,6940,12960,12960,1280,160,Up
78,61,20574,13041,20574,19821,19821,1280,110,Up
75,74,26049,10964,26049,12422,12422,1280,64,Up
60,66,31270,10005,31270,17661,17661,1280,15,Down
60,66,31270,10005,31270,17661,17661,1280,43,Down
53,64,13013,4455,13013,12342,12342,1280,93,Down
56,77,17753,6670,17753,10658,10658,1280,139,Down
57,66,16937,15834,16937,10268,10268,1280,185,Down
56,77,47199,13227,47199,17833,17833,1280,234,Down
56,77,47199,13227,47199,17833,17833,1280,284,Down
50,60,10509,16076,10509,8275,8275,1280,330,Down
41,44,15566,18180,15566,12453,12453,1280,376,Down
40,44,26910,18022,26910,17337,17337,1280,426,Down
44,41,20429,4606,20429,7764,7764,1280,472,Down
44,41,20429,4606,20429,7764,7764,1280,518,Down
56,48,7459,16555,7459,20213,20213,1280,568,Down
61,56,17293,8966,17293,13605,13605,1280,617,Down
56,50,1202,6807,1202,11221,11221,1280,663,Down
63,51,7948,18159,7948,12694,12694,1280,713,Up-Right
50,44,4370,23418,4370,14654,14654,1337,688,Up-Right
50,44,4370,23418,4370,14654,14654,1420,642,Up-Right
47,34,30902,17470,30902,19391,19391,1508,592,Up-Right
48,40,48149,31035,48149,17348,17348,1591,546,Up-Right
37,41,12400,15840,12400,6111,6111,1673,500,Up-Right
48,53,18734,13624,18734,22798,22798,1762,451,Up-Right
48,53,18734,13624,18734,22798,22798,1851,401,Up-Right
48,51,17084,28975,17084,16386,16386,1934,355,Up-Right
43,48,24743,42443,24743,15706,15706,2016,305,Up-Right
53,47,7291,5336,7291,8179,8179,2105,259,Up-Right
44,34,13801,21374,13801,22871,22871,2187,213,Up-Right
44,34,13801,21374,13801,22871,22871,2276,163,Up-Right
51,44,24087,18498,24087,40094,40094,2359,117,Up-Right
50,51,28925,32359,28925,12585,12585,2447,68,Up-Right
53,48,3582,6930,3582,4192,4192,2530,22,Down-Left
63,64,40006,32495,40006,30307,30307,2498,39,Down-Left
57,63,8055,9286,8055,10932,10932,2416,85,Down-Left
57,63,8055,9286,8055,10932,10932,2327,135,Down-Left
70,64,37128,39572,37128,25348,25348,2238,185,Down-Left
57,67,34808,22585,34808,14454,14454,2156,231,Down-Left
47,53,21779,40811,21779,23841,23841,2073,280,Down-Left
51,56,30951,22383,30951,31522,31522,1984,327,Down-Left
51,56,30951,22383,30951,31522,31522,1902,373,Down-Left
48,60,6570,11511,6570,10239,10239,1819,419,Down-Left
67,69,50750,11391,50750,32570,32570,1737,465,Down-Left
56,61,8894,15268,8894,7096,7096,1648,514,Down-Left
56,61,8894,15268,8894,7096,7096,1566,564,Down-Left
56,61,8894,15268,8894,7096,7096,1477,610,Down-Left
57,48,14209,20931,14209,35294,35294,1394,660,Down-Left
44,40,18689,11155,18689,7782,7782,1305,706,Down-Right
75,61,18509,2558,18509,40201,40201,1324,720,Right
78,60,21714,12952,21714,11958,11958,1407,720,Right
78,60,21714,12952,21714,11958,11958,1489,720,Right
64,56,13640,22845,13640,10711,10711,1578,720,Right
77,51,1563,7167,1563,13257,13257,1661,720,Right
66,54,44504,6294,44504,28772,28772,1750,720,Right
64,54,14087,18136,14087,18437,18437,1838,720,Right
66,66,46028,4709,46028,11845,11845,1921,720,Right
66,66,46028,4709,46028,11845,11845,2003,720,Right
66,77,18869,15253,18869,12794,12794,2086,720,Right
48,60,23410,6525,23410,11143,11143,2175,720,Right
47,64,42367,25994,42367,15477,15477,2257,720,Right
50,66,26792,16160,26792,10069,10069,2346,720,Right
50,66,26792,16160,26792,10069,10069,2428,720,Right
27,43,2020,2425,2020,3490,3490,2511,720,Right
54,54,8415,9043,8415,25768,25768,2517,720,Left
64,61,20031,7517,20031,10286,10286,2428,720,Left
60,37,6780,7245,6780,31833,31833,2340,720,Left
60,37,6780,7245,6780,31833,31833,2257,720,Left
67,56,2793,5031,2793,3237,3237,2175,720,Left
56,60,17033,19613,17033,9952,9952,2086,720,Left
54,56,48686,33717,48686,16367,16367,2003,720,Left
60,81,14480,23253,14480,11856,11856,1914,720,Left
