attention,meditation,lowAlpha,lowBeta,lowGamma,highAlpha,highBeta,X,Y,Direction
77,78,10287,13622,10287,6563,6563,1280,702,Up
63,78,27297,7875,27297,4626,4626,1280,653,Up
63,78,27297,7875,27297,4626,4626,1280,607,Up
91,81,2176,2873,2176,6710,6710,1280,560,Up
84,88,11601,3575,11601,5859,5859,1280,514,Up
75,88,28307,7198,28307,7161,7161,1280,468,Up
83,81,6962,4805,6962,6658,6658,1280,419,Up
78,78,5716,3257,5716,9378,9378,1280,373,Up
78,78,5716,3257,5716,9378,9378,1280,327,Up
75,83,17537,3882,17537,4580,4580,1280,277,Up
77,78,11849,3508,11849,6055,6055,1280,231,Up
67,66,3549,9338,3549,6479,6479,1280,185,Up
63,70,2528,5025,2528,3810,3810,1280,139,Up
63,70,2528,5025,2528,3810,3810,1280,89,Up
56,60,23875,9631,23875,8632,8632,1280,43,Up
54,57,15832,3501,15832,7061,7061,1280,18,Down
63,69,8554,4636,8554,8313,8313,1280,64,Down
63,77,14451,5822,14451,6378,6378,1280,110,Down
63,77,14451,5822,14451,6378,6378,1280,156,Down
70,69,8342,8456,8342,7829,7829,1280,206,Down
80,75,11285,12735,11285,5123,5123,1280,252,Down
53,67,798,3822,798,435,435,1280,298,Down
35,50,52987,56594,52987,35627,35627,1280,344,Down
24,53,8277,3096,8277,4075,4075,1280,390,Down
24,53,8277,3096,8277,4075,4075,1280,440,Down
20,56,4404,11236,4404,7577,7577,1280,486,Down
40,60,7460,5906,7460,4087,4087,1280,532,Down
54,81,264715,87202,264715,66007,66007,1280,582,Down
64,83,11689,15927,11689,9966,9966,1280,628,Down
64,83,11689,15927,11689,9966,9966,1280,674,Down
57,63,13300,26399,13300,12420,12420,1280,720,Up-Right
48,56,6455,6866,6455,3629,3629,1350,681,Up-Right
44,54,78082,27124,78082,34350,34350,1432,635,Up-Right
47,54,19241,14160,19241,39810,39810,1521,585,Up-Right
57,64,8506,10577,8506,10184,10184,1604,539,Up-Right
57,64,8506,10577,8506,10184,10184,1686,493,Up-Right
80,74,6788,13400,6788,9453,9453,1769,447,Up-Right
96,80,12016,5458,12016,15859,15859,1857,397,Up-Right
94,69,1898,2001,1898,14135,14135,1940,351,Up-Right
87,64,12101,19708,12101,8823,8823,2022,305,Up-Right
87,64,12101,19708,12101,8823,8823,2111,256,Up-Right
81,66,14164,6928,14164,8098,8098,2194,210,Up-Right
56,44,10126,4419,10126,5365,5365,2276,163,Up-Right
51,44,18733,37054,18733,27959,27959,2365,114,Up-Right
47,61,149100,23877,149100,16587,16587,2447,68,Up-Right
34,56,1586,12360,1586,10541,10541,2530,22,Down-Left
34,56,1586,12360,1586,10541,10541,2505,36,Down-Left
47,54,20965,38579,20965,37054,37054,2422,82,Down-Left
41,66,10522,2842,10522,2787,2787,2333,132,Down-Left
51,67,34453,11211,34453,9380,9380,2251,178,Down-Left
57,67,9598,5380,9598,5878,5878,2162,227,Down-Left
57,67,9598,5380,9598,5878,5878,2079,273,Down-Left
61,74,9533,4440,9533,8790,8790,1997,319,Down-Left
69,75,9853,10668,9853,11793,11793,1914,369,Down-Left
66,60,37680,1950,37680,15789,15789,1832,415,Down-Left
70,63,12443,12276,12443,7624,7624,1743,461,Down-Left
70,63,12443,12276,12443,7624,7624,1661,507,Down-Left
70,69,4931,18898,4931,13264,13264,1578,553,Down-Left
66,67,19648,16803,19648,10195,10195,1496,603,Down-Left
60,66,13458,5674,13458,8017,8017,1407,649,Down-Left
50,67,48104,12335,48104,13181,13181,1324,695,Down-Left
44,60,11265,20925,11265,13065,13065,1305,720,Right
44,60,11265,20925,11265,13065,13065,1388,720,Right
57,51,9242,9995,9242,20097,20097,1470,720,Right
61,54,24944,13423,24944,10192,10192,1553,720,Right
64,53,4693,6511,4693,9048,9048,1635,720,Right
64,66,18702,15581,18702,10062,10062,1724,720,Right
64,66,18702,15581,18702,10062,10062,1807,720,Right
48,77,48778,21827,48778,10175,10175,1889,720,Right
48,84,54792,16994,54792,13297,13297,1978,720,Right
60,74,10364,14943,10364,23969,23969,2060,720,Right
60,60,19081,19203,19081,11978,11978,2149,720,Right
61,61,12421,6622,12421,9010,9010,2232,720,Right
61,61,12421,6622,12421,9010,9010,2321,720,Right
78,54,18231,2555,18231,16891,16891,2403,720,Right
78,63,1346,15986,1346,8437,8437,2486,720,Right
81,74,8505,4055,8505,7022,7022,2543,720,Left
97,66,9171,12430,9171,13142,13142,2460,720,Left
97,66,9171,12430,9171,13142,13142,2378,720,Left
78,53,6869,6425,6869,9249,9249,2289,720,Left
54,47,28421,23704,28421,7842,7842,2206,720,Left
54,41,23324,24435,23324,17769,17769,2124,720,Left
48,50,7492,3248,7492,5360,5360,2035,720,Left
47,51,29885,21977,29885,12790,12790,1953,720,Left
47,51,29885,21977,29885,12790,12790,1870,720,Left
53,63,24385,8034,24385,4930,4930,1781,720,Left
40,70,8098,22567,8098,6093,6093,1699,720,Left
37,69,16320,5013,16320,7630,7630,1616,720,Left
48,91,11448,8871,11448,5563,5563,1534,720,Left
48,91,11448,8871,11448,5563,5563,1445,720,Left
50,74,9539,10321,9539,10853,10853,1362,720,Left
66,66,7252,9915,7252,10813,10813,1280,720,Down-Right
67,70,22324,4118,22324,13397,13397,1350,759,Down-Right
74,48,3536,11635,3536,8857,8857,1432,805,Down-Right
74,48,3536,11635,3536,8857,8857,1515,851,Down-Right
74,51,8742,20458,8742,9805,9805,1597,897,Down-Right
67,51,13652,5230,13652,8558,8558,1686,947,Down-Right
56,38,6244,4662,6244,8775,8775,1769,993,Down-Right
54,56,27796,13250,27796,11723,11723,1851,1039,Down-Right
47,67,27018,17129,27018,5259,5259,1934,1085,Down-Right
47,67,27018,17129,27018,5259,5259,2022,1135,Down-Right
50,80,16892,8864,16892,8613,8613,2105,1181,Down-Right
61,87,15493,16030,15493,6375,6375,2187,1230,Down-Right
48,87,28973,5341,28973,8143,8143,2276,1277,Down-Right
63,94,12426,3628,12426,9076,9076,2359,1323,Down-Right
63,94,12426,3628,12426,9076,9076,2441,1369,Down-Right
60,96,19564,2628,19564,5584,5584,2524,1415,Up-Left
61,97,8067,14665,8067,8973,8973,2505,1404,Up-Left
60,90,28942,18555,28942,7193,7193,2422,1358,Up-Left
54,84,48111,14438,48111,18801,18801,2333,1308,Up-Left
54,84,48111,14438,48111,18801,18801,2251,1262,Up-Left
53,78,29311,4529,29311,11558,11558,2168,1216,Up-Left
48,63,6248,5599,6248,8058,8058,2086,1167,Up-Left
66,60,5503,13554,5503,8168,8168,1997,1121,Up-Left
77,48,7477,7256,7477,11554,11554,1914,1074,Up-Left
75,54,20187,10028,20187,6919,6919,1832,1028,Up-Left
75,54,20187,10028,20187,6919,6919,1750,979,Up-Left
70,60,4923,5257,4923,4914,4914,1661,933,Up-Left
64,63,9403,13647,9403,12992,12992,1578,887,Up-Left
64,70,14868,9175,14868,9691,9691,1489,837,Up-Left
66,66,28494,28040,28494,10598,10598,1407,791,Up-Left
66,66,28494,28040,28494,10598,10598,1324,745,Up-Left
57,70,35487,8808,35487,6591,6591,1280,734,Down
60,75,10567,11956,10567,6666,6666,1280,780,Down
54,67,15848,13770,15848,9652,9652,1280,826,Down
43,75,78104,11855,78104,5247,5247,1280,876,Down
43,67,4571,5071,4571,3875,3875,1280,922,Down
43,67,4571,5071,4571,3875,3875,1280,968,Down
41,67,34746,4634,34746,16018,16018,1280,1014,Down
43,74,21679,7795,21679,15717,15717,1280,1064,Down
44,75,83962,12557,83962,6205,6205,1280,1110,Down
51,91,77371,7589,77371,14556,14556,1280,1156,Down
51,91,77371,7589,77371,14556,14556,1280,1202,Down
48,90,11136,1899,11136,5507,5507,1280,1252,Down
29,69,3130,4629,3130,2371,2371,1280,1298,Down
38,43,11894,19510,11894,15001,15001,1280,1347,Down
43,40,35722,6776,35722,20839,20839,1280,1394,Down
43,40,35722,6776,35722,20839,20839,1280,1429,Up
44,47,47122,24250,47122,16317,16317,1280,1379,Up
53,53,17961,28842,17961,14767,14767,1280,1333,Up
64,74,33847,54843,33847,34083,34083,1280,1287,Up
57,63,24729,16927,24729,16634,16634,1280,1241,Up
54,53,19061,44110,19061,11035,11035,1280,1191,Up
54,53,19061,44110,19061,11035,11035,1280,1145,Up
61,66,48824,4505,48824,23343,23343,1280,1099,Up
48,61,40051,17345,40051,12295,12295,1280,1053,Up
40,66,39707,19097,39707,6641,6641,1280,1004,Up
50,67,4720,13294,4720,15038,15038,1280,958,Up
50,67,4720,13294,4720,15038,15038,1280,911,Up
41,77,4255,4348,4255,4819,4819,1280,862,Up
44,83,13533,14648,13533,8988,8988,1280,816,Up
50,70,28353,23697,28353,15611,15611,1280,766,Up
41,74,27803,34961,27803,7441,7441,1280,720,Down-Left
48,70,17603,13784,17603,9925,9925,1210,759,Down-Left
48,70,17603,13784,17603,9925,9925,1128,805,Down-Left
43,66,23666,14144,23666,8389,8389,1045,851,Down-Left
51,88,20181,12948,20181,9793,9793,963,897,Down-Left
48,75,6224,15492,6224,8088,8088,880,943,Down-Left
48,61,14462,40520,14462,10121,10121,791,993,Down-Left
48,61,14462,40520,14462,10121,10121,709,1039,Down-Left
47,53,17521,16115,17521,7587,7587,620,1089,Down-Left
50,43,2887,2124,2887,3809,3809,538,1135,Down-Left
63,56,10244,21636,10244,8792,8792,455,1181,Down-Left
61,61,5318,31526,5318,3206,3206,373,1227,Down-Left
69,80,26211,3046,26211,9379,9379,290,1273,Down-Left
69,80,26211,3046,26211,9379,9379,201,1323,Down-Left
63,84,1176,21199,1176,5156,5156,119,1369,Down-Left
66,77,6098,8096,6098,10871,10871,36,1418,Up-Right
64,69,439,3713,439,1604,1604,55,1404,Up-Right
56,57,32393,9640,32393,4769,4769,138,1358,Up-Right
56,57,32393,9640,32393,4769,4769,227,1308,Up-Right
51,61,27841,19304,27841,5824,5824,309,1262,Up-Right
44,57,1903,5451,1903,13418,13418,392,1213,Up-Right
40,61,7146,2116,7146,3673,3673,481,1167,Up-Right
60,60,8868,11929,8868,8968,8968,563,1121,Up-Right
60,60,8868,11929,8868,8968,8968,652,1071,Up-Right
67,60,38338,10928,38338,9835,9835,734,1025,Up-Right
63,74,20991,8228,20991,10860,10860,817,979,Up-Right
67,69,5138,2775,5138,3310,3310,899,933,Up-Right
61,75,11614,6140,11614,7476,7476,988,883,Up-Right
54,75,13103,8167,13103,7438,7438,1071,837,Up-Right
54,75,13103,8167,13103,7438,7438,1153,791,Up-Right
51,88,41506,9169,41506,8777,8777,1236,741,Up-Right
44,100,53473,10731,53473,7875,7875,1255,720,Left
40,94,26218,13923,26218,12126,12126,1166,720,Left
54,84,7444,12553,7444,9465,9465,1083,720,Left
54,84,7444,12553,7444,9465,9465,994,720,Left
56,69,1732,10603,1732,5811,5811,912,720,Left
60,80,47426,14960,47426,5552,5552,830,720,Left
51,80,15942,14051,15942,9747,9747,741,720,Left
35,67,5560,9367,5560,3462,3462,658,720,Left
30,70,23388,8384,23388,7225,7225,576,720,Left
30,70,23388,8384,23388,7225,7225,493,720,Left
47,53,3185,5279,3185,13258,13258,411,720,Left
60,60,7611,12369,7611,9166,9166,322,720,Left
75,70,8309,4881,8309,6386,6386,239,720,Left
93,70,3173,7215,3173,13791,13791,157,720,Left
93,70,3173,7215,3173,13791,13791,68,720,Left
91,84,12788,6609,12788,6415,6415,17,720,Right
81,63,863,5187,863,3102,3102,106,720,Right
87,67,5404,19176,5404,11597,11597,189,720,Right
75,67,1258,7764,1258,4796,4796,271,720,Right
75,67,1258,7764,1258,4796,4796,360,720,Right
84,56,3496,4152,3496,12907,12907,449,720,Right
96,67,7523,12372,7523,7679,7679,531,720,Right
91,63,9111,9972,9111,9019,9019,614,720,Right
100,53,2402,5087,2402,8203,8203,703,720,Right
93,60,4070,8720,4070,6508,6508,785,720,Right
93,60,4070,8720,4070,6508,6508,874,720,Right
83,66,14073,10999,14073,7661,7661,956,720,Right
75,69,9308,15012,9308,9028,9028,1039,720,Right
57,78,1323,891,1323,1754,1754,1121,720,Right
60,90,53212,19977,53212,30778,30778,1210,720,Right
60,90,53212,19977,53212,30778,30778,1280,720,Up-Left
63,83,3506,3936,3506,11490,11490,1198,674,Up-Left
63,80,9158,3959,9158,4475,4475,1115,628,Up-Left
70,66,1485,8714,1485,6147,6147,1033,578,Up-Left
66,43,16365,15151,16365,12014,12014,944,532,Up-Left
60,56,56251,15343,56251,11675,11675,861,486,Up-Left
60,56,56251,15343,56251,11675,11675,779,440,Up-Left
64,57,8827,12672,8827,6802,6802,690,390,Up-Left
50,74,8250,5218,8250,10819,10819,607,344,Up-Left
50,70,8664,6204,8664,6622,6622,525,298,Up-Left
56,67,30406,7634,30406,8835,8835,442,249,Up-Left
56,67,30406,7634,30406,8835,8835,354,202,Up-Left
60,61,17227,4886,17227,33575,33575,271,156,Up-Left
70,54,8095,38513,8095,12571,12571,189,110,Up-Left
74,67,17228,6859,17228,4850,4850,106,64,Up-Left
67,63,17624,4616,17624,6016,6016,17,15,Down-Right
70,69,8208,3647,8208,7252,7252,68,43,Down-Right
70,69,8208,3647,8208,7252,7252,157,93,Down-Right
61,84,16114,4422,16114,3544,3544,239,139,Down-Right
70,84,8287,9368,8287,8970,8970,328,188,Down-Right
81,81,15434,7415,15434,12709,12709,411,234,Down-Right
77,75,3674,8421,3674,5974,5974,500,284,Down-Right
77,75,3674,8421,3674,5974,5974,582,330,Down-Right
66,64,20722,3015,20722,4221,4221,671,380,Down-Right
66,64,7270,13632,7270,4869,4869,753,426,Down-Right
57,66,18210,7654,18210,6721,6721,836,472,Down-Right
56,81,681,6586,681,4732,4732,918,518,Down-Right
63,88,29436,7767,29436,6042,6042,1007,568,Down-Right
